user_id,book_id,borrow_date,return_date
U001,B001,2026-01-10,2026-01-18
U001,B005,2026-02-03,2026-02-12
U001,B007,2026-03-15,2026-03-22
U001,B013,2026-04-02,2026-04-12
U001,B015,2026-05-10,2026-05-18
U001,B017,2026-06-05,2026-06-15
U001,B003,2026-07-12,2026-07-20
U002,B009,2026-01-05,2026-01-14
U002,B011,2026-02-10,2026-02-18
U002,B012,2026-03-02,2026-03-10
U002,B018,2026-04-15,2026-04-25
U002,B021,2026-05-08,2026-05-16
U002,B022,2026-06-12,2026-06-20
U002,B024,2026-07-05,2026-07-14
U003,B019,2026-01-08,2026-01-15
U003,B020,2026-02-14,2026-02-22
U003,B021,2026-03-20,2026-03-28
U003,B023,2026-04-05,2026-04-14
U003,B024,2026-05-17,2026-05-25
U003,B022,2026-06-10,2026-06-18
U003,B030,2026-07-15,2026-07-23
U004,B003,2023-07-15,2023-07-23
